Class	Architecture	Topology
:Mainly_Beta	:6_Propeller	:Neuraminidase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_L30;_Chain:_A,
:Mainly_Beta	:2_Solenoid	:Alkaline_Protease,_subunit_P,_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Fumarase_C;_Chain_A,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Enolase-like;_domain_1
:Alpha_Beta	:Box	:Proliferating_Cell_Nuclear_Antigen
:Alpha_Beta	:Roll	:Thiol_Ester_Dehydrase;_Chain_A
:Mainly_Beta	:Distorted_Sandwich	:Hnrnp_arginine_n-methyltransferase1
:Mainly_Beta	:3_Solenoid	:UDP_N-Acetylglucosamine_Acyltransferase;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Few_Secondary_Structures	:Irregular	:Methanol_Dehydrogenase;_Chain_B
:Alpha_Beta	:Alpha-Beta_Complex	:Actin;_Chain_A,_domain_4
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Mainly_Alpha	:Orthogonal_Bundle	:Cobalamin-dependent_Methionine_Synthase;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aldehyde_Dehydrogenase;_Chain_A,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Non-ribosomal_Peptide_Synthetase_Peptidyl_Carrier_Protein;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Mainly_Alpha	:Up-down_Bundle	:Fumarase_C;_Chain_A,_domain_2
:Alpha_Beta	:3-Layer(bba)_Sandwich	:FAD/NAD(P)-binding_domain
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Glutathione_S-transferase_Yfyf_(Class_Pi);_Chain_A,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:3-Layer(bba)_Sandwich	:Chalcone_isomerase
:Mainly_Alpha	:Up-down_Bundle	:5_helical_Cullin_repeat_like
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Few_Secondary_Structures	:Irregular	:Fusion_Protein_Of_Alpha-na,k-atpase_With_Glutathione_S-transferase;_domain_3
:Alpha_Beta	:Alpha-Beta_Horseshoe	:Leucine-rich_repeat,_LRR_(right-handed_beta-alpha_superhelix)
:Alpha_Beta	:Alpha-Beta_Complex	:DNA_Methylase;_Chain_A,_domain_2
:Mainly_Beta	:Ribbon	:Complement_Module;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Hypothetical_protein_af0941
:Mainly_Beta	:Roll	:Urease,_subunit_C;_domain_1
:Mainly_Beta	:Sandwich	:Gamma-B_Crystallin;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Metal_Transport,_Frataxin;_Chain_A
:Mainly_Beta	:Beta_Complex	:Beta-clip-like
:Alpha_Beta	:Alpha-Beta_Complex	:Hemagglutinin_(Ha1_Chain);_Chain:_A;_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
